model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,F0_E2E_ms,decode_steps,decode_total_ms,output_tokens,batch,valid,displayed
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,36988.95824700706,227.63410958401266,40403.46989076725,40403.46989076725,15,3414.51164376019,16,2,true,true
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,413.657716998311,227.63410958401266,3828.169360758501,40403.46989076725,15,3414.51164376019,16,2,true,true
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,413.657716998311,22.67704616078897,753.8134094101456,40403.46989076725,15,340.15569241183454,16,2,true,true
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,383.87447249056265,23.283392806122304,733.1253645823972,40403.46989076725,15,349.25089209183454,16,2,true,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,34226.52027642714,54.864719676513836,35049.49107157485,35049.49107157485,15,822.9707951477076,16,2,true,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,349.34614335498225,54.864719676513836,1172.31693850269,35049.49107157485,15,822.9707951477076,16,2,true,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,349.34614335498225,20.180815751131824,652.0583796219596,35049.49107157485,15,302.71223626697736,16,2,true,true
MT-76B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,349.34614335498225,20.745579331131825,660.5298333219596,35049.49107157485,15,311.1836899669774,16,2,true,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,F0,3856.5989354392595,15.415419126557035,4087.830222337615,4087.830222337615,15,231.23128689835553,16,1,true,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,F1,69.19195377610379,15.415419126557035,300.4232406744593,4087.830222337615,15,231.23128689835553,16,1,true,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,F2,69.19195377610379,6.239257349104314,162.7808140126685,4087.830222337615,15,93.5888602365647,16,1,true,true
LLAMA-7B,KVChime-LongMemEval-oracle-d851d5ba,F4,39.02314208624277,6.259516647237646,132.91589179480746,4087.830222337615,15,93.8927497085647,16,1,true,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F0,5431.020083289967,22.309280740075526,5765.6592943911,5765.6592943911,15,334.6392111011329,16,1,true,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F1,101.27106002022178,22.309280740075526,435.9102711213547,5765.6592943911,15,334.6392111011329,16,1,true,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F2,104.44733790463377,10.847731644114834,267.16331256635624,5765.6592943911,15,162.7159746617225,16,1,true,true
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F4,56.316449117044264,10.873601900114835,219.4204776187668,5765.6592943911,15,163.10402850172252,16,1,true,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F0,9967.667712119628,42.063362979800374,10598.618156816634,10598.618156816634,15,630.9504446970057,16,1,true,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F1,145.25058856488275,42.063362979800374,776.2010332618884,10598.618156816634,15,630.9504446970057,16,1,true,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F2,145.25058856488275,19.08834603274773,431.57577905609867,10598.618156816634,15,286.32519049121595,16,1,true,true
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F4,98.8029445036351,19.13680974474773,385.85509067485106,10598.618156816634,15,287.05214617121595,16,1,true,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F0,9098.805951333426,38.82695937126788,9681.210341902444,9681.210341902444,15,582.4043905690182,16,1,true,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F1,139.28876000408664,38.82695937126788,721.6931505731048,9681.210341902444,15,582.4043905690182,16,1,true,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F2,139.28876000408664,20.4607908149941,446.2006222289981,9681.210341902444,15,306.9118622249115,16,1,true,true
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F4,90.54089068972655,20.50043559792743,398.047424658638,9681.210341902444,15,307.50653396891147,16,1,true,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F0,8412.334831200431,35.6778331360247,8947.502328240802,8947.502328240802,15,535.1674970403706,16,1,true,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F1,122.64978096476516,35.6778331360247,657.8172780051357,8947.502328240802,15,535.1674970403706,16,1,true,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F2,122.64978096476516,18.45306027012663,399.44568501666464,8947.502328240802,15,276.79590405189947,16,1,true,true
MT-76B,KVChime-LongMemEval-oracle-d851d5ba,F4,82.381350700691,18.48981765412663,359.7286155125904,8947.502328240802,15,277.34726481189944,16,1,true,true
