model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
GPT-175B,supervisor_k8,A3b,52.372542480482345,23228212763013.938,naive,gpu,121253678112,23230146
GPT-175B,supervisor_k8,A4b,52.28848615443286,23227174403717.93,master-diff,gpu,121253678112,22732866
GPT-175B,supervisor_k8,A5,48.785824554005316,22471148353059.926,master-diff,pim,30550543392,27741474
GPT-175B,supervisor_k8,A6,48.785824554005316,22471148353059.926,master-diff,dynamic,30550543392,27741474
LLAMA-33B,supervisor_k8,A3b,29.406787633484427,5686749040625.226,naive,gpu,164197682208,13648266
LLAMA-33B,supervisor_k8,A4b,28.97507098594358,5684690294081.62,master-diff,gpu,164197682208,15779706
LLAMA-33B,supervisor_k8,A5,26.52229356885336,4939940288847.611,master-diff,pim,41370520608,18910086
LLAMA-33B,supervisor_k8,A6,26.52229356885336,4939940288847.611,master-diff,dynamic,41370520608,18910086
LLAMA-65B,supervisor_k8,A3b,29.67800914324338,8977160923669.695,naive,gpu,67363163168,17291426
LLAMA-65B,supervisor_k8,A4b,29.643482475849638,8976256185176.799,master-diff,gpu,67363163168,16450786
LLAMA-65B,supervisor_k8,A5,26.851491720605523,8555683488974.489,master-diff,pim,16972532768,20624626
LLAMA-65B,supervisor_k8,A6,26.851491720605523,8555683488974.489,master-diff,dynamic,16972532768,20624626
LLAMA-7B,supervisor_k8,A3b,16.05158517048586,1741114545493.6807,naive,gpu,107781049376,8606210
LLAMA-7B,supervisor_k8,A4b,16.515739815499582,1739840530104.9382,master-diff,gpu,107781049376,8417410
LLAMA-7B,supervisor_k8,A5,14.696677970083998,1344641764044.5964,master-diff,pim,27156040736,10086946
LLAMA-7B,supervisor_k8,A6,13.905871244957527,1164136241610.7283,master-diff,dynamic,107781049376,8417410
LLAMA3-8B,supervisor_k8,A3b,17.44493873935043,1906667507208.4395,naive,gpu,107781049376,10211842
LLAMA3-8B,supervisor_k8,A4b,18.08397452637104,1905289618326.5042,master-diff,gpu,107781049376,9990274
LLAMA3-8B,supervisor_k8,A5,15.767142782931906,1440821934633.4722,master-diff,pim,27156040736,14246530
LLAMA3-8B,supervisor_k8,A6,15.005010813116723,1280552480141.2207,master-diff,dynamic,107781049376,9990274
