model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,N-lo,8,A5,1,3.369790887462092,6.113671016630672,2.74388012916858,4,4.051699627565096,4.059747484041329,0.6819087401030042,2.061971389065576
GPT-13B,N-lo,8,A6,0,0.0,3.369790887462092,3.369790887462092,4,1.5055205050695715,1.5127956935509954,1.5055205050695715,1.8642703823925204
GPT-13B,N-lo,8,A6,1,3.369790887462092,6.113671016630672,2.74388012916858,4,4.051699627565096,4.059747484041329,0.6819087401030042,2.061971389065576
GPT-13B,baseline,8,A1,0,0.0,23.390383491906423,23.390383491906423,16,16.22867144261446,16.256619196306847,16.22867144261446,7.161712049291964
GPT-13B,baseline,8,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16,52.63568794830308,52.67119527956725,29.245304456396656,9.096963907668396
GPT-13B,baseline,8,A2,0,0.0,80.85760113292208,80.85760113292208,16,80.85760113292208,2.2686072601850413,80.85760113292208,0.0
GPT-13B,baseline,8,A2,1,80.85760113292208,198.52977144018766,117.67217030726557,16,198.52977144018766,0.0,117.67217030726557,0.0
GPT-13B,baseline,8,A3,0,0.0,8.917616156483293,8.917616156483293,16,1.8722822523303029,1.899773023843798,1.8722822523303029,7.04533390415299
GPT-13B,baseline,8,A3,1,8.917616156483293,22.188774333226643,13.27115817674335,16,11.580180885061766,11.621496095334571,2.6625647285784737,10.608593448164877
GPT-13B,baseline,8,A3a,0,0.0,8.917616156483293,8.917616156483293,16,1.8722822523303029,1.899773023843798,1.8722822523303029,7.04533390415299
GPT-13B,baseline,8,A3a,1,8.917616156483293,20.90174543323849,11.984129276755196,16,11.580180885061766,11.616565532693844,2.6625647285784737,9.321564548176722
GPT-13B,baseline,8,A3b,0,0.0,8.771353725684303,8.771353725684303,16,1.8722822523303029,1.8992016857243341,1.8722822523303029,6.899071473354001
GPT-13B,baseline,8,A3b,1,8.771353725684303,21.731182336501313,12.95982861081701,16,11.433918454262777,11.47401753342311,2.6625647285784737,10.297263882238536
GPT-13B,baseline,8,A4,0,0.0,8.847511079383152,8.847511079383152,16,1.8654178009413453,1.8926623251753478,1.8654178009413453,6.982093278441806
GPT-13B,baseline,8,A4,1,8.847511079383152,20.500154919771976,11.652643840388825,16,11.500146116255022,11.535275499189419,2.652635036871871,9.000008803516954
GPT-13B,baseline,8,A4b,0,0.0,8.805241531835525,8.805241531835525,16,1.8654178009413453,1.8924972097554333,1.8654178009413453,6.93982373089418
GPT-13B,baseline,8,A4b,1,8.805241531835525,20.51877365155217,11.713532119716644,16,11.457876568707396,11.493243796480657,2.652635036871871,9.060897082844773
GPT-13B,baseline,8,A5,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,baseline,8,A5,1,5.6975789508081105,15.052264982830694,9.354686032022585,16,9.507831414614566,9.529462456788016,3.8102524638064557,5.544433568216128
GPT-13B,baseline,8,A6,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,baseline,8,A6,1,5.6975789508081105,15.052264982830694,9.354686032022585,16,9.507831414614566,9.529462456788016,3.8102524638064557,5.544433568216128
GPT-13B,broadcast,8,A1,0,0.0,2.7657206630856437,2.7657206630856437,1,1.01441100530606,1.0212503284068357,1.01441100530606,1.7513096577795837
