model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,E2E_ms,14.060622947558787
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,TTFT_energy_mJ,2.034560248320294
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,TBT_energy_mJ,-0.01466474252229677
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,E2E_energy_mJ,1.038581686358353
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F2,F3,simultaneous_peak_KV_GiB,76.15604613569572
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,TTFT_ms,-2.7398348984375653
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,TBT_ms,14.861093900844446
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,E2E_ms,5.160531213141628
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,TTFT_energy_mJ,11.681910774754323
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,TBT_energy_mJ,11.577134830443637
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,E2E_energy_mJ,11.630444859191924
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F3,F4,simultaneous_peak_KV_GiB,9.608364390287338
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,TTFT_ms,95.68446647995835
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,TBT_ms,59.46073024581751
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,E2E_ms,93.25640756155377
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,TTFT_energy_mJ,97.64667909220664
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,TBT_energy_mJ,53.27389289754536
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,E2E_energy_mJ,95.58689772179358
LLAMA-7B,KVChime-EPIC-shared-readers-B4,F0,F4,simultaneous_peak_KV_GiB,72.41265527950311
GPT-13B,KVChime-CB-3,F0,F1,TTFT_ms,79.11443576101138
GPT-13B,KVChime-CB-3,F0,F1,TBT_ms,-6.235012506294879e-11
GPT-13B,KVChime-CB-3,F0,F1,E2E_ms,65.63997594383952
